title;composers;year;meter;key;length
Sweeping Up;Swallow, Steve;1975;3/4;G;7
Red Clay;Hubbard, Freddie;1970;4/4;c;11
Bessie's Blues;Coltrane, John;1964;4/4;E-;12
Blues Five Spot;Monk, Thelonious;1962;4/4;B-;12
Blues In The Closet;Pettiford, Oscar;1955;4/4;A-;12
Blue Sphere;Monk, Thelonious;1971;4/4;B-;12
C Jam Blues;Ellington, Duke;1942;4/4;C;12
Cousin Mary;Coltrane, John;1959;4/4;A-;12
Eighty One;Carter, Ron;1965;4/4;F;12
Equinox;Coltrane, John;1960;4/4;c#;12
Jody Grind, The;Silver, Horace;1966;4/4;b-;12
Jumpin With Symphony Sid;Young, Lester;1950;4/4;B-;12
Kicker, The;Henderson, Joe;1963;4/4;B-;12
Misterioso;Monk, Thelonious;1948;4/4;B-;12
Mr. P.C.;Coltrane, John;1959;4/4;c;12
Parker's Mood;Parker, Charlie;1948;4/4;B-;12
Some Other Blues;Coltrane, John;1959;4/4;F;12
St. Louis Blues;Handy, W.C.;1914;4/4;G;12
Straight No Chaser;Monk, Thelonious;1951;4/4;B-;12
Tenor Madness;Rollins, Sonny;1956;4/4;B-;12
Ba-lue Bolivar Ba-lues-are;Monk, Thelonious;1956;4/4;B-;13
Blues For Wood;Shaw, Woody;1976;4/4;f;13
Chasin' The Trane;Coltrane, John;1962;4/4;F;13
Fine And Mellow;Holiday, Billie;1940;4/4;F;13
Bloomdido;Parker, Charlie;1953;4/4;B-;14
Interplay;Evans, Bill;1962;4/4;f;14
Relaxin' At Camarillo;Parker, Charlie;1947;4/4;C;14
Solar;Davis, Miles;1954;4/4;c;14
Sonnymoon For Two;Rollins, Sonny;1957;4/4;B-;14
Things Ain't What They Used To Be;Ellington, Duke;1942;4/4;D-;14
Turnaround;Coleman, Ornette;1959;4/4;C;14
Bags' Groove;Jackson, Milt;1954;4/4;F;15
Barbados;Parker, Charlie;1948;4/4;F;15
Moonchild;Jarrett, Keith;1971;4/4;e;15
Sandu;Brown, Clifford;1955;4/4;E-;15
Billie's Bounce;Parker, Charlie;1945;4/4;F;16
Birk's Works;Gillespie, Dizzy;1956;4/4;f;16
Blue In Green;Davis, Miles & Evans, Bill;1959;4/4;d;16
Booker's Waltz;Little, Booker;1961;3/4;A-;16
Cantaloupe Island;Hancock, Herbie;1964;4/4;f;16
Contemplation;Tyner, McCoy;1967;3/4;c;16
Cyclic Episode;Rivers, Sam;1964;4/4;C;16
Friday The 13th;Monk, Thelonious;1959;4/4;G;16
If You Never Come To Me;Jobim, Antonio Carlos;1964;4/4;C;16
Iris;Shorter, Wayne;1965;3/4;f;16
Nefertiti;Shorter, Wayne;1968;4/4;A-;16
Now's The Time;Parker, Charlie;1945;4/4;F;16
Pent Up House;Rollins, Sonny;1956;4/4;G;16
Re: Person I Knew;Evans, Bill;1974;4/4;C;16
Route 66;Troup, Bobby;1946;4/4;F;16
Sorcerer, The;Hancock, Herbie;1967;4/4;D-;16
Sweet Georgia Bright;Lloyd, Charles;1964;4/4;C;16
Toys;Hancock, Herbie;1977;4/4;d;16
Valse Hot;Rollins, Sonny;1956;3/4;A-;16
Walkin';Davis, Miles;1949;4/4;F;16
Watermelon Man;Hancock, Herbie;1963;4/4;F;16
Wayne's Thang;Garrett, Kenny;1995;4/4;e;16
We Will Meet Again;Evans, Bill;1977;3/4;c;16
Blue Bossa;Dorham, Kenny;1963;4/4;c;17
Coral;Jarrett, Keith;1973;4/4;c;17
Israel;Carisi, John;1949;4/4;d;17
Mac The Knife;Weill, Kurt;1928;4/4;B-;17
Sugar;Turrentine, Stanley;1971;4/4;c;17
When It Rains;Mehldau, Brad;2001;4/4;B;17
When The Saints Go Marching In;Traditional;1896;4/4;F;17
Work Song;Adderley, Nat;1960;4/4;f;17
Beatrice;Rivers, Sam;1968;4/4;F;18
Humpty Dumpty;Corea, Chick;1978;4/4;C;18
Jackie-ing;Monk, Thelonious;1959;4/4;B-;18
Lady Bird;Dameron, Tadd;1947;4/4;C;18
On The Trail;Grofe, Ferde;1933;4/4;F;18
Peace;Silver, Horace;1959;4/4;B-;18
Played Twice;Monk, Thelonious;1959;4/4;C;18
Sunny;Hebb, Bobby;1963;4/4;a;18
Swinging Shepherd Blues, The;Roberts, Rhoda & Koffman, Moe & Jacobson, Kenny;1958;4/4;B-;18
United;Shorter, Wayne;1961;3/4;F;18
Cheryl;Parker, Charlie;1955;4/4;C;19
Fall;Shorter, Wayne;1967;4/4;e;19
Funkallero;Evans, Bill;1971;3/4;c;19
Si Si;Parker, Charlie;1951;4/4;F;19
Yesterdays;Kern, Jerome;1933;4/4;d;19
Afro Blue;Santamaria, Mongo;1959;3/4;f;20
Blue Daniel;Rosolino, Frank;1978;3/4;D;20
Blues For Alice;Parker, Charlie;1951;4/4;F;20
Brotherhood Of Man;Loesser, Frank;1961;4/4;E-;20
Deluge;Shorter, Wayne;1964;4/4;e-;20
Feel Like Makin' Love;McDaniels, Eugene;1974;4/4;E-;20
Freight Train;Flanagan, Tommy;1962;4/4;A-;20
Got A Match?;Corea, Chick;1990;4/4;d;20
Half Nelson;Davis, Miles;1948;4/4;C;20
Leaving;Beirach, Richie;1976;4/4;B-;20
Ligia;Jobim, Antonio Carlos;1976;4/4;B;20
Mc Jolt;Richie, Beirach;1990;4/4;e-;20
Old Country, The;Lewis, Curtis & Adderley, Cannonball;1961;4/4;d;20
One Finger Snap;Hancock, Herbie;1964;4/4;E-;20
Preacher, The;Silver, Horace;1954;4/4;F;20
Recordame;Henderson, Joe;1963;4/4;a;20
Pinocchio;Shorter, Wayne;1968;4/4;e-;21
Gloria's Step;LaFaro, Scott;1960;4/4;F;22
Just A Gigolo;Casucci, Leonello;1928;4/4;F;22
Little Boat (O Barquinho);Menescal, Roberto;1963;4/4;B-;22
Little B's Poem;Hutcherson, Bobby;1965;3/4;f;22
Armando's Rhumba;Corea, Chick;1976;4/4;c;23
El Gaucho;Shorter, Wayne;1965;4/4;F;23
Nostalgia In Times Square;Mingus, Charles;1959;4/4;F;23
Pee Wee;Williams, Tony;1967;3/4;D-;23
Summertime;Gershwin, George;1935;4/4;a;23
