1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;31;32;32
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;3.0
C^7;C^7;E7;E7;A7;A7;Dm7;Dm7;E7;E7;Am7;Am7;D7;D7;Dm7;G7;C^7;C^7;E7;E7;A7;A7;Dm7;Dm7;F^7;Fm6;Em7;A7;Dm7;G7;C6;Ebo7;Dm7;G7
I_C;I_C;V_A;V_A;V_d;V_d;II_C;II_C;V_a;V_a;II_G;II_G;V_G;V_G;II_C;V_C;I_C;I_C;V_A;V_A;V_d;V_d;II_C;II_C;IV_C;IV_c;II_d;V_d;II_C;V_C;I_C;;;
I_C;;V_A;;V_d;;II_C;;V_a;;II_G;;V_G;;V_C;;I_C;;V_A;;V_d;;II_C;;IV_C;;V_d;;II_C;V_C;I_C;;;
I_C;;V_d;;;;II_C;;II_G;;;;V_G;;V_C;;I_C;;V_d;;;;II_C;;IV_C;;II_C;;;V_C;I_C;;;
I_C;;II_C;;;;;;V_G;;;;;;V_C;;I_C;;II_C;;;;;;IV_C;;V_C;;;;I_C;;;
I_C;;II_C;;;;;;V_C;;;;;;;;I_C;;II_C;;;;;;V_C;;;;;;I_C;;;
I_C;;V_C;;;;;;;;;;;;;;I_C;;V_C;;;;;;;;;;;;I_C;;;
I_C;;V_C;;;;;;;;;;;;;;I_C;;I_C;;;;;;;;;;;;;;;
I_C;;V_C;;;;;;;;;;;;;;I_C;;;;;;;;;;;;;;;;;
(I_C,V_C);;;;;;;;;;;;;;;;I_C;;;;;;;;;;;;;;;;;
I_C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
