1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8;9;9;10;10;11;11;12;12;13;13;14;14;15;16;17;17;18;18;19;20;21;21;22;22;23;24;25;25;26;26;27;27;28;28;29;29;30;30;31;31;32;32
1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;1.0;1.0;3.0;1.0;3.0;1.0;1.0;1.0;3.0;1.0;3.0;1.0;1.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0
Dm7;G7;Dm7;G7;Em7;A7;Em7;A7;Am7;D7;Abm7;Db7;C^7;F7;Em7;A7;Dm7;G7;Dm7;G7;Em7;A7;Em7;A7;Am7;D7;Abm7;Db7;C^7;C^7;Gm7;C7;Gm7;C7;F^7;F^7;Am7;D7;Am7;D7;G7;G7;Dm7;G7;Dm7;G7;Em7;A7;Em7;A7;Am7;D7;Abm7;Db7;C^7;F7;Em7;A7
II_C;V_C;II_C;V_C;II_D;V_D;II_D;V_D;II_G;V_G;II_Gb;V_Gb;I_C;V_Bb;II_d;V_d;II_C;V_C;II_C;V_C;II_D;V_D;II_D;V_D;II_G;V_G;II_Gb;V_Gb;I_C;I_C;II_F;V_F;II_F;V_F;IV_C;IV_C;II_G;V_G;II_G;V_G;V_C;V_C;II_C;V_C;II_C;V_C;II_D;V_D;II_D;V_D;II_G;V_G;II_Gb;V_Gb;I_C;;;
V_C;;V_C;;V_D;;V_D;;V_G;;V_Gb;;I_C;V_E;II_d;V_d;II_C;;V_C;;V_D;;V_D;;V_G;;V_Gb;;I_C;;V_F;;V_F;;IV_C;;V_G;;V_G;;V_C;;V_C;;V_C;;V_D;;V_D;;V_G;;V_Gb;;I_C;;;
V_C;;;;V_D;;;;V_G;;V_Gb;;I_C;II_d;;V_d;II_C;;V_C;;V_D;;;;V_G;;V_Gb;;I_C;;V_F;;;;IV_C;;V_G;;;;V_C;;V_C;;;;V_D;;;;V_G;;V_Gb;;I_C;;;
V_C;;;;V_G;;;;;;V_Gb;;I_C;V_d;;;II_C;;V_C;;V_G;;;;;;V_Gb;;I_C;;IV_C;;;;;;V_C;;;;;;V_C;;;;V_G;;;;;;V_Gb;;I_C;;;
V_C;;;;V_Db;;;;;;V_Gb;;I_C;II_C;;;;;V_C;;V_Db;;;;;;V_Gb;;I_C;;V_C;;;;;;;;;;;;V_C;;;;V_Db;;;;;;V_Gb;;I_C;;;
V_C;;;;V_Gb;;;;;;;;I_C;V_C;;;;;;;V_Gb;;;;;;;;I_C;;V_C;;;;;;;;;;;;V_C;;;;V_Gb;;;;;;;;I_C;;;
V_C;;;;V_C;;;;;;;;I_C;V_C;;;;;;;V_C;;;;;;;;I_C;;V_C;;;;;;;;;;;;V_C;;;;V_C;;;;;;;;I_C;;;
V_C;;;;I_C;;;;;;;;;V_C;;;;;;;I_C;;;;;;;;;;V_C;;;;;;;;;;;;V_C;;;;I_C;;;;;;;;;;;
I_C;;;;;;;;;;;;;I_C;;;;;;;;;;;;;;;;;V_C;;;;;;;;;;;;I_C;;;;;;;;;;;;;;;
I_C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V_C;;;;;;;;;;;;I_C;;;;;;;;;;;;;;;
I_C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;I_C;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
