1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8;9;9;10;10;11;11;12;12;13;13;14;14;15;15;16;16;17;17;18;18;19;19;20;20;21;21;22;23;23;24;24;25;25;26;26;27;27;28;28;29;29;30;30;31;31;32;32
1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0
Eb^7;Cm7;Fm7;Bb7;Eb^7;Cm7;Fm7;Bb7;Db7;C7;B7;Bb7;Eb^7;Cm7;Fm7;Bb7;Eb^7;Cm7;Fm7;Bb7;Eb^7;Cm7;Fm7;Bb7;Db7;C7;B7;Bb7;Eb^7;Ab7;G%7;C7;Fm7;Bb7;Eb6;Cm7;Fm7;Bb7;Eb6;A7;Abm7;Db7;Gb^7;Fsus;F7;Fm7;Bb7;Eb^7;Cm7;Fm7;Bb7;Eb^7;Cm7;Fm7;Bb7;Db7;C7;B7;Bb7;Eb^7;Cm7;Fm7;Bb7
I_Eb;VI_Eb;II_Eb;V_Eb;I_Eb;VI_Eb;II_Eb;V_Eb;V_Gb;V_F;V_E;V_Eb;I_Eb;VI_Eb;II_Eb;V_Eb;I_Eb;VI_Eb;II_Eb;V_Eb;I_Eb;VI_Eb;II_Eb;V_Eb;V_Gb;V_F;V_E;V_Eb;I_Eb;V_g;II_f;V_f;II_Eb;V_Eb;I_Eb;VI_Eb;II_Eb;V_Eb;I_Eb;V_d;II_Gb;V_Gb;I_Gb;V_Bb;V_Bb;II_Eb;V_Eb;I_Eb;VI_Eb;II_Eb;V_Eb;I_Eb;VI_Eb;II_Eb;V_Eb;V_Gb;V_F;V_E;V_Eb;I_Eb;;;
I_Eb;II_Eb;;V_Eb;I_Eb;II_Eb;;V_Eb;V_C;V_F;V_E;V_Eb;I_Eb;II_Eb;;V_Eb;I_Eb;II_Eb;;V_Eb;I_Eb;II_Eb;;V_Eb;V_C;V_F;V_E;V_Eb;I_Eb;II_f;;V_f;II_Eb;V_Eb;I_Eb;II_Eb;;V_Eb;I_Eb;V_ab;II_Gb;V_Gb;I_Gb;V_Bb;;V_Eb;;I_Eb;II_Eb;;V_Eb;I_Eb;II_Eb;;V_Eb;V_C;V_F;V_E;V_Eb;I_Eb;;;
I_Eb;V_Eb;;;I_Eb;V_Eb;;;V_F;;V_E;V_Eb;I_Eb;V_Eb;;;I_Eb;V_Eb;;;I_Eb;V_Eb;;;V_F;;V_E;V_Eb;I_Eb;V_f;;;II_Eb;V_Eb;I_Eb;V_Eb;;;I_Eb;II_Gb;;V_Gb;I_Gb;V_Bb;;V_Eb;;I_Eb;V_Eb;;;I_Eb;V_Eb;;;V_F;;V_E;V_Eb;I_Eb;;;
(I_Eb,V_Eb);;;;(I_Eb,V_Eb);;;;V_B;;V_E;V_Eb;I_Eb;V_Eb;;;(I_Eb,V_Eb);;;;(I_Eb,V_Eb);;;;V_B;;V_E;V_Eb;I_Eb;II_Eb;;;;V_Eb;I_Eb;I_Eb;;;;V_Gb;;;I_Gb;V_Bb;;V_Eb;;(I_Eb,V_Eb);;;;(I_Eb,V_Eb);;;;V_B;;V_E;V_Eb;I_Eb;;;
(I_Eb,V_Eb);;;;;;;;V_E;;;V_Eb;I_Eb;V_Eb;;;(I_Eb,V_Eb);;;;;;;;V_E;;;V_Eb;I_Eb;V_Eb;;;;;I_Eb;I_Eb;;;;I_Gb;;;;V_Bb;;V_Eb;;(I_Eb,V_Eb);;;;;;;;V_E;;;V_Eb;I_Eb;;;
(I_Eb,V_Eb);;;;;;;;V_Bb;;;V_Eb;I_Eb;V_Eb;;;(I_Eb,V_Eb);;;;;;;;V_Bb;;;V_Eb;I_Eb;I_Eb;;;;;;I_Eb;;;;V_Cb;;;;V_Bb;;V_Eb;;(I_Eb,V_Eb);;;;;;;;V_Bb;;;V_Eb;I_Eb;;;
(I_Eb,V_Eb);;;;;;;;V_Eb;;;;I_Eb;V_Eb;;;(I_Eb,V_Eb);;;;;;;;V_Eb;;;;I_Eb;I_Eb;;;;;;;;;;V_F;;;;V_Bb;;V_Eb;;(I_Eb,V_Eb);;;;;;;;V_Eb;;;;I_Eb;;;
(I_Eb,V_Eb);;;;;;;;I_Eb;;;;;V_Eb;;;(I_Eb,V_Eb);;;;;;;;I_Eb;;;;;I_Eb;;;;;;;;;;V_Bb;;;;;;V_Eb;;(I_Eb,V_Eb);;;;;;;;I_Eb;;;;;;;
(I_Eb,V_Eb);;;;;;;;(I_Eb,V_Eb);;;;;;;;I_Eb;;;;;;;;;;;;;I_Eb;;;;;;;;;;V_Eb;;;;;;;;I_Eb;;;;;;;;;;;;;;;
(I_Eb,V_Eb);;;;;;;;;;;;;;;;I_Eb;;;;;;;;;;;;;(I_Eb,V_Eb);;;;;;;;;;;;;;;;;;I_Eb;;;;;;;;;;;;;;;
I_Eb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;I_Eb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_Eb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
