1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Ab^7;Eb7;G%7;C7;Fm7;Db7;Bb7;Bo7;Ab^7;B7;Bbm7;Eb7;Ab^7;Ab^7;A7;A7
I_Ab;V_Ab;II_f;V_f;VI_Ab;V_Gb;V_Eb;;;;;;;;;
