1;1;2;2;3;4;5;5;6;6;7;8;9;9;10;10;11;12;13;13;14;14;15;16;17;18;19;20;21;22;23;24;25;25;26;26;27;28;29;29;30;30;31;32
1;3;1;3;1;1;1;3;1;3;1;1;1;3;1;3;1;1;1;3;1;3;1;1;1;1;1;1;1;1;1;1;1;3;1;3;1;1;1;3;1;3;1;1
A%7;D7;A%7;D7;Gm7;Gm7;Eb7;D7;Eb7;D7;Gm7;Gm7;A%7;D7;A%7;D7;Gm7;Gm7;Eb7;D7;Eb7;D7;Gm7;Gm7;F7;F7;Bb^7;Bb^7;D7;D7;Gm7;D7;A%7;D7;A%7;D7;Gm7;Gm7;Eb7;D7;Eb7;D7;Gm7;Gm7
II_g;V_g;II_g;V_g;I_g;I_g;V_Ab;V_g;V_Ab;V_g;I_g;I_g;II_g;V_g;II_g;V_g;I_g;I_g;V_Ab;V_g;V_Ab;V_g;I_g;I_g;V_Bb;V_Bb;I_Bb;I_Bb;V_g;V_g;I_g;V_g;II_g;V_g;II_g;V_g;I_g;I_g;V_Ab;V_g;V_Ab;V_g;I_g;I_g
V_g;;II_g;;I_g;;V_D;V_g;V_D;V_g;I_g;;V_g;;V_g;;I_g;;V_Ab;V_g;V_D;V_g;I_g;;V_Bb;;I_Bb;;V_g;;I_g;V_g;V_g;;V_g;;I_g;;V_D;V_g;V_D;V_g;I_g;
V_g;;;;I_g;;V_g;;V_g;;I_g;;V_g;;;;I_g;;V_g;;V_g;;I_g;;I_Bb;;;;I_g;;;V_g;V_g;;;;I_g;;V_g;;V_g;;I_g;
I_g;;;;;;V_g;;;;I_g;;I_g;;;;;;V_g;;;;I_g;;I_g;;;;;;;V_g;;;;;I_g;;V_g;;;;I_g;
I_g;;;;;;I_g;;;;;;I_g;;;;;;I_g;;;;;;(I_g, V_g);;;;;;;;;;;;I_g;;I_g;;;;;
I_g;;;;;;;;;;;;I_g;;;;;;;;;;;;I_g;;;;;;;;;;;;;;I_g;;;;;
I_g;;;;;;;;;;;;I_g;;;;;;;;;;;;I_g;;;;;;;;;;;;;;;;;;;
I_g;;;;;;;;;;;;;;;;;;;;;;;;I_g;;;;;;;;;;;;;;;;;;;
I_g;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
