1;2;3;3;4;4;5;6;7;8;9;10;11;12;13;13;14;14;15;15;16;16
1;1;1;3;1;3;1;1;1;1;1;1;1;1;1;3;1;3;1;3;1;3
F^;F^7;F^;Abo7;Gm7;D7;Gm;Gm7;C7;F^;F7;Eb7;D7;Gm7;Bbm7;Eb7;Am7;D7;Gm7;C7;F^;
I_F;I_F;I_F;V_Db;II_F;V_G;II_F;II_F;V_F;I_F;I_F;V_Ab;V_G;II_F;II_Ab;V_Ab;II_G;V_G;II_F;V_F;I_F;
I_F;I_F;;V_G;II_F;II_F;II_F;;V_F;I_F;I_F;V_D;V_G;II_F;V_Ab;;V_G;;II_F;V_F;I_F;
I_F;;;II_F;;II_F;;;V_F;I_F;I_F;V_G;;II_F;V_D;;V_G;;II_F;V_F;I_F;
I_F;;;II_F;;;;;V_F;I_F;I_F;II_F;;;V_G;;;;II_F;V_F;I_F;
I_F;;;V_F;;;;;;I_F;I_F;II_F;;;II_F;;;;;V_F;I_F;
I_F;;;I_F;;;;;;;I_F;II_F;;;;;;;;V_F;I_F;
I_F;;;;;;;;;;I_F;V_F;;;;;;;;;I_F;
I_F;;;;;;;;;;I_F;I_F;;;;;;;;;;
I_F;;;;;;;;;;I_F;;;;;;;;;;;
I_F;;;;;;;;;;;;;;;;;;;;;
