1;2;3;3;4;4;;6;6;7;8;8
1;1;1;3;1;3;;1;3;1;1;3
Cm7;Bbm7;Dbsus;Ebsus;Fsus;Gsus;Cm7;Bbm7;Eb7;Ab^7;D%7;G7
I_c;VII_c;V_Gb;III_c;IV_c;V_c;I_c;II_Ab;V_Ab;I_Ab;II_c;V_c
I_c;V_c;V_c;IV_c;;V_c;I_c;V_Ab;;I_Ab;II_c;V_c
I_c;V_c;V_c;V_c;;;I_c;I_Ab;;;II_c;V_c
I_c;V_c;V_c;;;;I_c;VI_c;;;II_c;V_c
I_c;V_c;;;;;I_c;II_c;;;;V_c
I_c;V_c;;;;;I_c;V_c;;;;
I_c;V_c;;;;;(I_c,V_c);;;;;
(I_c,V_c);;;;;;(I_c,V_c);;;;;
(I_c,V_c);;;;;;;;;;;
