1;1;2;3;4;5;6;7;8;9;10;10;11;12;13;14;14;15;15;16
1;3;1;1;1;1;1;1;1;1;1;3;1;1;1;1;3;1;3;1
Ebm7;E^7;E^7;E^7;E^7;E^7;E^7;Ebm7;A7;Ab7;F#m7;B7;Ebm7;A7;Ab7;F#m7;B7;Ebm7;E^7;E^7
V_E;I_E;I_E;I_E;I_E;I_E;I_E;V_Ab;V_D;V_Db;II_E;V_E;V_Ab;V_D;V_Db;II_E;V_E;V_E;I_E;I_E
V_E;I_E;;I_E;;I_E;;V_Ab;V_Ab;V_Db;V_E;;V_Ab;V_Ab;V_Db;V_E;;V_E;I_E;
V_E;I_E;;I_E;;;;V_Ab;;V_Db;V_E;;V_Ab;;V_Db;V_E;;I_E;;
V_E;I_E;;;;;;V_Db;;;V_E;;V_Db;;;V_E;;I_E;;
I_E;;;;;;;V_E;;;V_E;;V_E;;;V_E;;I_E;;
I_E;;;;;;;V_E;;;;;V_E;;;;;I_E;;
I_E;;;;;;;V_E;;;;;;;;;;I_E;;
I_E;;;;;;;I_E;;;;;;;;;;;;
I_E;;;;;;;;;;;;;;;;;;;
