1;2;3;3;4;4;5;6;7;8;9;10;11;12;13;14
1;1;1;3;1;3;1;1;1;1;1;1;1;1;1;1
Gm6;A7;Dm7;Db7;Cm7;F7;Bb^7;A7;Dm6;E7;Am7;Dm7;Gm6;A7;Dm6;Dm6
IV_d;V_d;II_c;V_Gb;II_Bb;V_Bb;I_Bb;V_d;IV_a;V_a;I_a;I_d;IV_d;V_d;I_d;I_d
V_d;;II_c;V_C;II_Bb;V_Bb;I_Bb;IV_a;;V_a;I_a;I_d;V_d;;I_d;
II_c;;;V_C;II_Bb;V_Bb;I_Bb;V_a;;;I_a;I_d;I_d;;;
V_C;;;;II_Bb;V_Bb;I_Bb;I_a;;;;I_d;I_d;;;
II_Bb;;;;;V_Bb;I_Bb;V_d;;;;I_d;I_d;;;
V_Bb;;;;;;I_Bb;I_d;;;;;I_d;;;
I_Bb;;;;;;;I_d;;;;;I_d;;;
I_d;;;;;;;I_d;;;;;I_d;;;
I_d;;;;;;;;;;;;I_d;;;
I_d;;;;;;;;;;;;;;;
