1;2;3;4;4;5;6;7;8;8;9;10;11;12;13;14;15;16
1;1;1;1;3;1;1;1;1;3;1;1;1;1;1;1;1;1
Am7;C7;F^7;B%7;E7;Am7;C7;F^7;B%7;E7;Am7;C7;F^7;Bb7;B%7;E7;Am7;E7
I_a;V_F;I_F;II_a;V_a;I_a;V_F;I_F;II_a;V_a;I_a;V_F;I_F;V_Eb;II_a;V_a;I_a;
I_a;I_F;;II_a;V_a;I_a;I_F;;II_a;V_a;I_a;I_F;;V_Eb;V_a;;I_a;
I_a;VI_a;;II_a;V_a;I_a;VI_a;;II_a;V_a;I_a;II_Eb;;V_Eb;V_a;;I_a;
I_a;II_a;;;V_a;I_a;II_a;;;V_a;I_a;V_Eb;;;V_a;;I_a;
I_a;V_a;;;;I_a;V_a;;;;I_a;V_a;;;V_a;;I_a;
I_a;I_a;;;;;I_a;;;;;V_a;;;;;I_a;
I_a;I_a;;;;;;;;;;I_a;;;;;;
I_a;I_a;;;;;;;;;;I_a;;;;;;
I_a;I_a;;;;;;;;;;;;;;;;
I_a;;;;;;;;;;;;;;;;;
