1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;15;16
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1
Fm;Fm;Fm;Fm;Fm;Fm;C7;C7;Fm;Fm;Fm;Fm;F7;Bb7;G7;C7;Fm
I_f;I_f;I_f;I_f;I_f;I_f;V_f;V_f;I_f;I_f;I_f;I_f;V_Bb;V_Eb;V_C;V_f;I_f
I_f;;I_f;;I_f;;V_f;;I_f;;I_f;;V_Eb;;V_C;V_f;I_f
I_f;;I_f;;;;V_f;;I_f;;;;V_C;;V_C;V_f;I_f
I_f;;;;;;I_f;;;;;;V_C;;;V_f;I_f
I_f;;;;;;;;;;;;V_f;;;;I_f
I_f;;;;;;;;;;;;I_f;;;;
I_f;;;;;;;;;;;;;;;;
