1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Em7;Em7;Ebm7;Ebm7;B^7;Bbm7;Dsus;D7;Gm7;A7;Dm7;Fsus;Abm7;Bb7;Ebm7;Gbsus;Abm7;Bb7;Ebm7;Gbsus
