1;1;2;3;3;4;4;4;5;6;6;7;7;8;8;9;10;10;11;12;13;14;14;15;16
1;3;1;1;3;1;3;4;1;1;3;1;3;1;3;1;1;3;1;1;1;1;3;1;1
Cm7;F7;Bb^7;Bbm7;Eb7;Ab^7;Dm7;G7;Dm7;Dm7;G7;Gm7;D7;Gm7;C7;F^7;Dm7;A7;D7;D7;G7;G%7;C7;F6;F6
II_Bb;V_Bb;I_Bb;II_Ab;V_Ab;I_Ab;II_C;V_C;II_C;II_C;V_C;II_F;V_G;II_F;V_F;I_F;II_C;V_D;V_G;V_G;V_C;II_f;V_F;I_F;I_F
V_Bb;;I_Bb;V_Ab;;I_Ab;V_C;;II_C;;V_C;II_F;II_F;;V_F;I_F;II_C;V_D;V_G;;V_C;V_F;;I_F;
I_Bb;;;I_Ab;;;V_C;;V_C;;;II_F;;;V_F;I_F;II_C;V_G;;;V_C;V_F;;I_F;
;;;;;;V_C;;;;;V_F;;;;I_F;II_C;V_C;;;;V_F;;I_F;
;;;;;;V_F;;;;;;;;;I_F;V_C;;;;;V_F;;I_F;
;;;;;;I_F;;;;;;;;;;V_F;;;;;;;I_F;
;;;;;;I_F;;;;;;;;;;I_F;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
