1;2;2;3;4;4;5;5;6;7;8;9;10;11;12;13;14;15;16
1.0;1.0;3.0;1.0;1.0;3.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Dm;E%7;A7;Dm;E%7;A7;Dm;Dm^7;Dm7;B%7;E7;A7;D7;G7;C7;F7;Bb^7;E%7;A7
