1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Cm7;Fm7;Bbm7;Ebm7;Abm7;Dbm7;F#m7;Bm7;A^7;G^7;D^7;Bm7;Abm7;G^7;F#m7;F^7;C^7;C^7;A^;A^;Cm7;Fm7;Bbm7;Ebm7;Abm7;Dbm7;F#m7;Bm7;A^7;Dm7;C^7;Bm7;Cm7;Bb^7;Am7;Am7;G^7;G^7
