1;2;3;4;4;5;6;7;8;9;10;11;12;12;13;14;15;16;16;17;18;19;20;21;21;22;23;24;24;25;26;27;28;28;29;30;31;32;32
1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;3.0
Am;F7;Am;Am;Eb7;Dm;Dm;Am;Am;Am;F7;Am;Am;Eb7;Dm;Dm;Am;Am;Gb7;F^7;E^7;Eb^7;Eb^7;Ebm;Absus;Eb^7;C^7;Bm7;E7;Am;F7;Am;Am;Eb7;Dm;Dm;Am;B%7;E7
