1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
F^7;F^7;G7;G7;Gm7;Gb7;F^7;Gb7;F^7;F^7;G7;G7;Gm7;Gb7;F^7;F^7;F#^7;F#^7;B7;B7;F#m7;F#m7;D7;D7;Gm7;Gm7;Eb7;Eb7;Am7;D7;Gm7;C7;F^7;F^7;G7;G7;Gm7;Gb7;F^7;Gb7
