1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;17;18;19;19;20;21;22;23;24
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0
Bbsus;Bbsus;Bbsus;Bbsus;Bbsus;Bbsus;Bbsus;Bbsus;Gsus;Gsus;Gsus;Gsus;Gsus;Gsus;Gsus;Gsus;Bm7;E7;A^7;Bbm7;Eb7;Ab^7;Ab^7;F^7;D^7;B^7
