1;2;3;4;5;6;7;8;9;10;11;12
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Bbm7;Bbm7;Bbm7;Bbm7;Eb7;Eb7;Bbm7;Bbm7;A7;B7;Bbm7;Bbm7
