1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Bbm7;Dbm7;Em7;Gm7;Cm7;D7;Gm7;A7;Dm7;Bm7;Abm7;Fm7;Dm7;Eb^;Ebm7;Gbm7
