1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
G6;G6;Bm7;E7;Am7;D7;D7;D7;Am7;E7;Am7;D7;G6;G6;Dm7;G7;C^7;C^7;F7;F7;G6;Am7;Bm7;E7;A7;A7;A7;A7;Am7;G#o7;Am7;Bbo7;G6;G6;Bm7;E7;Am7;D7;D7;D7;Am7;Am7;F#%7;B7;Em7;Eb7;D%7;G7;C^7;C^7;F7;F7;G6;Am7;Bm7;E7;Am7;E7;Am7;D7;G6;G6;Am7;D7
