1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Bb7;Bb7;F7;F7;E7;Db^;Cm7;Cm7;Eb7;Eb7;Dm;Bb7;Dm;Bb7;Dm;Dm
