1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Fm7;Fm7;E^7;Gb^7;Bb7;Db7;Ab^7;Ab^7;Cm7;Cm7;Db7;Cm7;Db7;Dbm7;Db7;Db7
