1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Am7;D7;G^7;G^7;Am7;D7;G^7;G^7;Dm7;G7;Cm7;F7;Am7;D7;G^7;G^7
