1;2;3;4;5;5;6;6;7;7;8;9;10;11;11;12;12
1.0;1.0;1.0;1.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;1.0;1.0;1.0;3.0;1.0;3.0
Dm;Dm7;Dm6;D7;Gm;Gm^7;Gm7;Gm6;Dm7;Em7;F^7;Bb7;A7;Dm;F7;Bb7;A7
