1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Gm6;Gm6;Gb7;Bb7;Dm7;G7;Gb7;Gb7;Gm6;Gm6;Gb7;Bb7;Dm7;G7;Gb7;Gb7;Cm7;F7;Bb^7;Cm7;F7;Bb^7;Gm6;Gm6;Gb7;Bb7;Dm7;G7;Gb7;Gb7
