1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
G^7;Em7;Am7;D7;G^7;G7;C^7;F7;E^7;C#m7;F#m7;B7;Em7;A7;Am7;D7;G^7;Em7;Am7;D7;G^7;G7;C^7;B7;Em7;F#7;Bm7;E7;Am7;D7;B%7;E7;C#%7;Cm6;Bm7;E7;Am7;D7;G^7;D7
