1;2;3;4;5;6;7;8;9;10;11;12
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Eb7;Ab7;Eb7;Eb7;Ab7;Ab7;Eb7;Eb7;Bb7;Ab7;Eb7;Bb7
