1;2;3;4;5;6;7;8;9;10;11;12
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Ab7;Ab7;Ab7;Ab7;Db7;Db7;Ab7;Ab7;Bbm7;Eb7;Ab7;Ab7
