1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Bm;Bm;Bm;Bm;Bb^7;Bb^7;Bb^7;Bb^7;Bm;Bm;Bm;Bm;Bb^7;Bb^7;Bb^7;Bb^7;G^7;G^7;G^7;G^7;G6;G6;G6;G6;Bm;Bm;Bm;Bm;Bb^7;Bb^7;Bb^7;Bb^7
