1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Bbm7;Eb7;Cm7;Fm7;Bbm7;Eb7;Ab^7;Ab^7;Dm7;G7;Em7;Am7;Dm7;G7;C^7;C^7;F#m7;B7;E^7;E^7;Bbm7;Eb7;Cm7;F7;Bbm7;Eb7;Cm7;F7;Bbm7;Eb7;Gb7;F7;Bbm7;Eb7;Ab^7;Ab^7
