1;2;3;4;5;6;7;8;9;10;11;12
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
C#m7;C#m7;C#m7;C#m7;F#m7;F#m7;C#m7;C#m7;A7;G#7;C#m7;C#m7
