1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Db^7;Db^7;Db^7;Db^7;Cm7;Cm7;Cm7;Cm7;Db^7;Db^7;Db^7;Db^7;Ab^7;Ab^7;Ab^7;Ab^7;Gb^7;Gb^7;Gb^7;Gb^7;Fm7;Gb^7;Fm7;Gb^7;G%7;C^7
