1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Bb^7;E7;A7;Dm;E7;E7;Am7;F^7;Bb^7;E7;A7;Ab7;C^;E7;Am7;B7;Em7;Dm7;Cm7;Bb^7;E7;E7;A^7;A^7
