1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
B^7;Abm7;Gbm;B7;Am7;D7;Ab^7;B7;C^7;Ab^7;F^7;Em;Em;Em;Em;Ebm7;Ebm7;D^7;D^7;B^7;B^7;B^7;B^7;C^7;Ab^7;F^7;Em;Em;Em;Em;Ebm7;Ebm7;D^7;D^7;B^7;B^7;B^7;B^7;Fm7;Fm7;Fm7;Fm7;Dbm7;Dbm7;Dbm7;Dbm7;C^7;Ab^7;F^7;Em;Em;Em;Em;Ebm7;Ebm7;D^7;D^7;B^7;B^7;B^7;B^7
