1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Dsus;Dsus;Dsus;Dsus;Fsus;Fsus;Fsus;Fsus;Dsus;Dsus;Dsus;Dsus;Fsus;Fsus;Fsus;Fsus;Ebsus;Ebsus;Ebsus;Ebsus;C#m;C#m;C#m;C#m;Dsus;Dsus;Dsus;Dsus;Fsus;Fsus;Fsus;Fsus
