1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Db^7;D^7;Em;F^7;Db^7;D^7;A7;D7;Abm7;Gm7;D^;Am7;Cm7;Gm^7;Asus;G^
