1;2;3;4;5;6;7;8;9;10;11;12
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Bb7;Bb7;Bb7;Bb7;Ebm7;Ab7;Db^7;Gb^7;C%7;F7;Bbm7;F7
