1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
G7;G7;G7;G7;G7;G7;G7;G7;C7;C7;C7;C7;G7;G7;G7;G7;D7;D7;Eb7;D7;G7;G7;G7;G7
