1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Cm7;Cm7;Cm7;Cm7;Cm7;Cm7;Cm7;Cm7;Ab^7;Ab^7;Ab^7;Ab^7;G7;G7;G7;G7
