1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
B7;B7;B7;B7;B7;B7;B7;B7;Bb7;Bb7;A7;A7;Ab^7;Ab^7;Em7;Em7;F^7;F^7;Bm7;Bm7;F^7;F^7;Bm7;Bm7
