1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Bb^7;Ebm;Bb^7;Ebm;Bb^7;Ebm;A%7;D7;Gm7;D7;Gm7;D7;Gm7;C7;Fsus;F7;Bb^7;Ebm;Bb^7;Ebm;Bb^7;D7;Eb^7;Ab7;Bb^;Gb6;Gm7;C7;Fsus;F7
