1;2;3;4;5;6;7;8;9;10;11;11;12;12
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;3.0
C7;C7;C7;C7;F7;F7;C7;A7;Dm7;G7;Em7;A7;Dm7;G7
