1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Csus;Csus;Csus;Csus;Ebsus;Ebsus;Ebsus;Ebsus;Absus;Absus;Absus;Absus;G%7;C7;F%7;Bb7;Eb^7;Eb^7;D%7;G7
