1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Eb^7;D^7;Gb^7;F^7;A7;Bb^7;Bbm7;Bbm7;Bbm7;Bbm7;Dm7;Bm7;Abm7;Abm7;Fm7;Abm7;Gb^7;Bb7
