1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;15;16;16
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;3.0
C^7;Db7;Db7;A7;C^7;Db7;Gm7;C7;Fsus;Fsus;Fsus;Fsus;C^7;Db7;Db7;C7;A7;D^7
