1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Bb7;Eb7;Ab6;Ab6;Ebm7;Ab7;Db^7;Db^7;Db6;Gb7;Ab6;F7;Bb7;Bb7;Eb7;F7;Bb7;Eb7;Ab6;Ab6;Ebm7;Ab7;Db^7;Db^7;Db7;Do7;Ab6;F7;Bb7;Eb7;Ab6;F7
