1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
F^;F^;F^;F^;Gm;C7;F^;F^;F^;F^;F^;F^;Gm;C7;F^;F^;Bb^;Bb^;F^;F^;C7;C7;F^;F7;Bb^;Bb^;F^;F^;Gm;C7;F^;F^
