1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Em7;A7;D^7;D^7;Dm7;G7;C^7;C^7;Cm7;F7;Bb^7;Gm7;Em7;F7;Bb^7;A7;Em7;A7;D^7;D^7;Dm7;G7;C^7;C^7;Cm7;F7;Bb^7;Gm7;Em7;A7;D^7;D^7
