1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
E%7;E%7;A7;A7;E%7;E%7;A7;A7;Cm7;F7;Bb^7;Eb7;Gm7;C7;F^7;F^7;E%7;E%7;A7;A7;E%7;E%7;A7;A7;Cm7;F7;Bb^7;Eb7;Gm7;C7;F^7;F^7;B%7;B%7;E7;E7;A%7;A%7;D7;D7;Gm7;C7;Am7;Dm7;Gm7;C7;F6;F6
