1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Cm7;Cm7;Cm7;Cm7;Cm7;Cm7;Cm7;Cm7;Fm7;Fm7;Fm7;Fm7;Cm7;Cm7;Cm7;Cm7;F#%7;F7;E7;A7;Cm7;Cm7;Cm7;Cm7
