1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
F#%7;F#%7;F#%7;F#%7;F^7;F^7;F^7;F^7;Eb^7;Eb^7;Eb^7;Eb^7;Db^7;Db^7;Db^7;Db^7;E^7;Db^7;D^7;B^7;C^7;A^7;Bb7;G^7
